original_name,canonical_name,unit,data_type,sampling_rate,missing_percentage,source_dataset,notes
Lcl Date,unmapped_lcl_date,#yyy-mm-dd,object,1.0 Hz,0.000%,NGAFID Garmin G1000,Avionics flight dynamic or navigation auxiliary channel
Lcl Time,timestamp,hh:mm:ss,string,1.0 Hz,0.000%,NGAFID Garmin G1000,Local system time of Garmin G1000 MFD
UTCOfst,unmapped_utcofst,hh:mm,object,1.0 Hz,0.000%,NGAFID Garmin G1000,Avionics flight dynamic or navigation auxiliary channel
AtvWpt,unmapped_atvwpt,ident,object,1.0 Hz,0.036%,NGAFID Garmin G1000,Avionics flight dynamic or navigation auxiliary channel
Latitude,unmapped_latitude,degrees,object,1.0 Hz,0.036%,NGAFID Garmin G1000,Avionics flight dynamic or navigation auxiliary channel
Longitude,unmapped_longitude,degrees,object,1.0 Hz,0.036%,NGAFID Garmin G1000,Avionics flight dynamic or navigation auxiliary channel
AltB,unmapped_altb,ft Baro,float64,1.0 Hz,0.036%,NGAFID Garmin G1000,Avionics flight dynamic or navigation auxiliary channel
BaroA,unmapped_baroa,inch,float64,1.0 Hz,0.036%,NGAFID Garmin G1000,Avionics flight dynamic or navigation auxiliary channel
AltMSL,altitude_m,ft (to m),float64,1.0 Hz,0.036%,NGAFID Garmin G1000,Pressure Altitude Mean Sea Level
OAT,ambient_temp_c,deg C,float64,1.0 Hz,0.036%,NGAFID Garmin G1000,Outside Ambient Air Temperature
IAS,airspeed,kt (to m/s),float64,1.0 Hz,0.036%,NGAFID Garmin G1000,Indicated Airspeed
GndSpd,unmapped_gndspd,kt,object,1.0 Hz,0.036%,NGAFID Garmin G1000,Avionics flight dynamic or navigation auxiliary channel
VSpd,vertical_speed_mps,fpm (to m/s),float64,1.0 Hz,0.036%,NGAFID Garmin G1000,Barometric Vertical Speed
Pitch,pitch_deg,deg,float64,1.0 Hz,0.036%,NGAFID Garmin G1000,Aircraft Pitch Attitude
Roll,roll_deg,deg,float64,1.0 Hz,0.036%,NGAFID Garmin G1000,Aircraft Roll Attitude
LatAc,unmapped_latac,G,object,1.0 Hz,0.036%,NGAFID Garmin G1000,Avionics flight dynamic or navigation auxiliary channel
NormAc,unmapped_normac,G,object,1.0 Hz,0.036%,NGAFID Garmin G1000,Avionics flight dynamic or navigation auxiliary channel
HDG,unmapped_hdg,deg,object,1.0 Hz,0.036%,NGAFID Garmin G1000,Avionics flight dynamic or navigation auxiliary channel
TRK,unmapped_trk,deg,object,1.0 Hz,0.036%,NGAFID Garmin G1000,Avionics flight dynamic or navigation auxiliary channel
volt1,voltage_1,volts,float64,1.0 Hz,0.036%,NGAFID Garmin G1000,Main Electrical Bus 1 Potential
volt2,voltage_2,volts,float64,1.0 Hz,0.036%,NGAFID Garmin G1000,Essential Electrical Bus 2 Potential
amp1,current_1,amps,float64,1.0 Hz,0.036%,NGAFID Garmin G1000,Alternator 1 Current
FQtyL,fuel_qty_l,gals (to L),float64,1.0 Hz,0.036%,NGAFID Garmin G1000,Left Fuel Tank Quantity
FQtyR,fuel_qty_r,gals (to L),float64,1.0 Hz,0.036%,NGAFID Garmin G1000,Right Fuel Tank Quantity
E1 FFlow,fuel_flow,GPH (to L/h),float64,1.0 Hz,0.036%,NGAFID Garmin G1000,Fuel flow transducer measurement
E1 OilT,oil_temp_c,deg F (to deg C),float64,1.0 Hz,0.036%,NGAFID Garmin G1000,Oil sump temperature
E1 OilP,oil_pressure_kpa,psi (to kPa),float64,1.0 Hz,0.036%,NGAFID Garmin G1000,Oil gallery lubrication pressure
E1 MAP,map_kpa,inHg (to kPa),float64,1.0 Hz,0.036%,NGAFID Garmin G1000,Manifold Absolute Pressure
E1 RPM,rpm,RPM,float64,1.0 Hz,0.036%,NGAFID Garmin G1000,Engine crankshaft rotational speed
E1 %Pwr,unmapped_e1_pctpwr,%,object,1.0 Hz,0.036%,NGAFID Garmin G1000,Avionics flight dynamic or navigation auxiliary channel
E1 CHT1,cht_1_c,deg F (to deg C),float64,1.0 Hz,0.036%,NGAFID Garmin G1000,Cylinder 1 Head Temperature
E1 CHT2,cht_2_c,deg F (to deg C),float64,1.0 Hz,0.036%,NGAFID Garmin G1000,Cylinder 2 Head Temperature
E1 CHT3,cht_3_c,deg F (to deg C),float64,1.0 Hz,0.036%,NGAFID Garmin G1000,Cylinder 3 Head Temperature
