#airframe_info, log_version="1.00", airframe_name="Cirrus SR22 Turbo (3600 GW)", unit_software_part_number="006-B0319-DE", unit_software_version="15.24", system_software_part_number="006-B0764-37", system_id="256EB5967", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2021-06-13, 07:03:46,  +00:00,       ,             ,             ,   262.7, 29.97,        ,  30.8,   0.00,       ,    0.00,       ,       ,       ,       ,      ,      ,      ,      ,      ,  46.00,  45.54,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,   36.1, 110.50, 110.50, 121.750, 121.500,       ,       ,       ,      ,       ,       ,    4.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2021-06-13, 07:03:46,  +00:00,       ,             ,             ,   262.7, 29.97,        ,  30.8,   0.00,       ,    0.00,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,  45.54,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,   36.1, 110.50, 110.50, 121.750, 121.500,       ,       ,       ,      ,       ,       ,    4.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2021-06-13, 07:03:48,  +00:00,       ,             ,             ,   262.7, 29.97,        ,  30.8,   0.00,       ,    0.00,       ,       ,       ,       ,      ,      ,  24.2,  23.6,  -7.3,  46.00,  45.55,     5.37,  181.27,   -0.02,  29.99,    0.0,    0.00,  209.51,  208.23,  207.33,  204.82,  201.55,  195.10,  197.32,  194.21,  183.80,  177.63,  171.32,  166.05,  249.38,  233.98,        ,   0,  GPS,   36.1, 110.50, 110.50, 121.750, 121.500,       ,       ,       ,      ,       ,       ,    4.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2021-06-13, 07:03:49,  +00:00,       ,             ,             ,   262.7, 29.97,        ,  30.8,   0.00,       ,    0.00,       ,       ,       ,       ,      ,      ,  24.2,  23.6,  -7.3,  46.00,  45.55,     5.33,  181.28,   -0.01,  29.98,    0.0,    0.00,  209.50,  208.21,  207.32,  204.81,  201.55,  195.07,  196.54,  193.45,  182.94,  176.76,  170.59,  165.21,  248.56,  233.05,        ,   0,  GPS,   36.1, 110.50, 110.50, 121.750, 121.500,       ,       ,       ,      ,       ,       ,    4.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2021-06-13, 07:03:50,  +00:00,       ,             ,             ,   262.7, 29.97,        ,  30.8,   0.00,       ,    0.00,       ,       ,       ,       ,      ,      ,  24.2,  23.6,  -7.3,  46.00,  45.55,     5.33,  181.29,   -0.02,  29.98,    0.0,    0.00,  209.49,  208.20,  207.33,  204.79,  201.53,  195.07,  197.23,  194.28,  183.72,  177.57,  171.31,  166.03,  249.40,  233.67,        ,   0,  GPS,   36.1, 110.50, 110.50, 121.750, 121.500,       ,       ,       ,      ,       ,       ,    4.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2021-06-13, 07:03:51,  +00:00,       ,             ,             ,   263.7, 29.97,        ,  30.8,   0.00,       ,    0.00,       ,       ,       ,       ,      ,      ,  24.2,  23.6,  -7.3,  46.00,  45.55,     5.33,  181.31,   -0.01,  29.98,    0.0,    0.00,  209.49,  208.18,  207.32,  204.79,  201.53,  195.06,  197.19,  194.24,  183.70,  177.56,  171.36,  165.97,  249.39,  233.34,        ,   0,  GPS,   36.1, 110.50, 110.50, 121.750, 121.500,       ,       ,       ,      ,       ,       ,    4.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2021-06-13, 07:03:52,  +00:00,       ,             ,             ,   263.7, 29.97,        ,  30.8,   0.00,       ,    0.00,       ,       ,       ,       ,      ,      ,  24.2,  23.6,  -7.3,  46.00,  45.55,     5.33,  181.34,   -0.01,  29.98,    0.0,    0.00,  209.49,  208.18,  207.32,  204.79,  201.52,  195.04,  197.08,  194.23,  183.63,  177.52,  171.32,  165.96,  249.39,  232.85,        ,   0,  GPS,   36.1, 110.50, 110.50, 121.750, 121.500,       ,       ,       ,      ,       ,       ,    4.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2021-06-13, 07:03:53,  +00:00,       ,             ,             ,   263.7, 29.97,        ,  30.8,   0.00,       ,    0.00,       ,       ,       ,       ,      ,      ,  24.2,  23.6,  -7.2,  46.00,  45.55,     5.34,  181.36,   -0.01,  29.98,    0.0,    0.00,  209.46,  208.18,  207.29,  204.79,  201.49,  195.04,  196.97,  194.18,  183.59,  177.52,  171.32,  165.94,  249.30,  232.72,        ,   0,  GPS,   36.1, 110.50, 110.50, 121.750, 121.500,       ,       ,       ,      ,       ,       ,    4.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2021-06-13, 07:03:54,  +00:00,       ,             ,             ,   263.7, 29.97,        ,  30.8,   0.00,       ,    0.00,       ,       ,       ,       ,      ,      ,  24.2,  23.6,  -7.2,  46.00,  45.55,     5.31,  181.37,   -0.01,  29.98,    0.0,    0.00,  209.46,  208.16,  207.29,  204.78,  201.49,  195.01,  196.89,  194.13,  183.58,  177.52,  171.34,  165.95,  249.20,  232.66,        ,   0,  GPS,   36.1, 110.50, 110.50, 121.750, 121.500,       ,       ,       ,      ,       ,       ,    4.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2021-06-13, 07:03:55,  +00:00,       ,             ,             ,   263.7, 29.97,        ,  30.8,   0.00,       ,    0.00,       ,       ,       ,       ,      ,      ,  24.2,  23.6,  -7.2,  46.00,  45.55,     5.31,  181.37,   -0.01,  29.98,    0.0,    0.00,  209.45,  208.13,  207.26,  204.76,  201.46,  195.01,  196.72,  194.01,  183.48,  177.45,  171.28,  165.91,  249.20,  232.54,        ,   0,  GPS,   36.1, 110.50, 110.50, 121.750, 121.500,       ,       ,       ,      ,       ,       ,    4.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
