#airframe_info, log_version="1.00", airframe_name="Cirrus SR22 Turbo (3600 GW)", unit_software_part_number="006-B0319-DE", unit_software_version="15.24", system_software_part_number="006-B0764-37", system_id="256EB5967", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2021-06-13, 11:50:07,  +00:00,       ,             ,             ,   143.2, 30.03,        ,  30.8,   0.00,       ,   29.17,       ,       ,       ,       ,      ,      ,  25.1,  24.4, -11.2,  46.00,  46.00,     5.52,  151.75,    0.22,  30.15,    0.0,    0.00,  142.52,  146.90,  151.37,  156.18,  138.43,  144.98,  153.90,  162.57,  145.26,  144.56,  136.70,  124.53,  270.16,  242.18,        ,   0,  GPS,   18.6, 117.35, 117.35, 120.300, 121.500,       ,       ,       ,      ,       ,       ,    4.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2021-06-13, 11:50:07,  +00:00,       ,             ,             ,   144.2, 30.03,        ,  30.8,   0.00,       ,   31.61,       ,       ,       ,       ,      ,      ,  25.1,  24.4, -11.2,  46.00,  46.00,     5.56,  151.72,    0.22,  30.15,    0.0,    0.00,  142.48,  146.84,  151.34,  156.15,  138.43,  144.93,  153.85,  162.60,  145.25,  144.52,  136.67,  124.50,  270.04,  241.94,        ,   0,  GPS,   18.6, 117.35, 117.35, 120.300, 121.500,       ,       ,       ,      ,       ,       ,    4.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2021-06-13, 11:50:08,  +00:00,       ,             ,             ,   144.2, 30.03,        ,  30.8,   0.00,       ,   31.86,       ,       ,       ,       ,      ,      ,  25.1,  24.4, -11.2,  46.00,  46.00,     5.62,  151.71,    0.22,  30.15,    0.0,    0.00,  142.45,  146.81,  151.29,  156.11,  138.37,  144.87,  153.65,  162.58,  145.18,  144.48,  136.62,  124.46,  269.41,  241.35,        ,   0,  GPS,   18.6, 117.35, 117.35, 120.300, 121.500,       ,       ,       ,      ,       ,       ,    4.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2021-06-13, 11:50:09,  +00:00,       ,             ,             ,   143.2, 30.03,        ,  30.8,   0.00,       ,    6.65,       ,       ,       ,       ,      ,      ,  25.1,  24.4, -11.2,  46.00,  46.00,     5.71,  151.70,    0.22,  30.16,    0.0,    0.00,  142.39,  146.75,  151.25,  156.06,  138.36,  144.84,  153.57,  162.68,  145.11,  144.39,  136.58,  124.40,  268.88,  241.46,        ,   0,  GPS,   18.6, 117.35, 117.35, 120.300, 121.500,       ,       ,       ,      ,       ,       ,    4.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2021-06-13, 11:50:10,  +00:00,       ,             ,             ,   143.2, 30.03,        ,  30.8,   0.00,       ,  -11.14,       ,       ,       ,       ,      ,      ,  25.1,  24.4, -11.2,  46.00,  46.00,     5.73,  151.66,    0.22,  30.16,    0.0,    0.00,  142.34,  146.70,  151.17,  156.03,  138.29,  144.78,  154.06,  162.47,  145.08,  144.37,  136.51,  124.37,  268.66,  242.37,        ,   0,  GPS,   18.6, 117.35, 117.35, 120.300, 121.500,       ,       ,       ,      ,       ,       ,    4.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2021-06-13, 11:50:11,  +00:00,       ,             ,             ,   143.2, 30.03,        ,  30.8,   0.00,       ,  -12.46,       ,       ,       ,       ,      ,      ,  25.1,  24.4, -11.2,  46.00,  46.00,     5.80,  151.66,    0.21,  30.16,    0.0,    0.00,  142.28,  146.64,  151.14,  155.94,  138.26,  144.73,  153.99,  162.22,  144.96,  144.28,  136.44,  124.32,  268.43,  242.65,        ,   0,  GPS,   18.6, 117.35, 117.35, 120.300, 121.500,       ,       ,       ,      ,       ,       ,    4.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2021-06-13, 11:50:12,  +00:00,       ,             ,             ,   143.2, 30.03,        ,  30.8,   0.00,       ,   -1.47,       ,       ,       ,       ,      ,      ,  25.1,  24.4, -11.2,  46.00,  46.00,     5.85,  151.63,    0.21,  30.16,    0.0,    0.00,  142.23,  146.60,  151.11,  155.91,  138.21,  144.68,  154.11,  162.03,  144.92,  144.20,  136.40,  124.25,  268.25,  243.07,        ,   0,  GPS,   18.6, 117.35, 117.35, 120.300, 121.500,       ,       ,       ,      ,       ,       ,    4.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2021-06-13, 11:50:13,  +00:00,       ,             ,             ,   143.2, 30.03,        ,  30.8,   0.00,       ,    7.01,       ,       ,       ,       ,      ,      ,  25.1,  24.4, -11.2,  46.00,  46.00,     5.91,  151.61,    0.20,  30.15,    0.0,    0.00,  142.17,  146.55,  151.05,  155.85,  138.16,  144.63,  154.17,  161.92,  144.92,  144.23,  136.37,  124.24,  268.18,  243.59,        ,   0,  GPS,   18.6, 117.35, 117.35, 120.300, 121.500,       ,       ,       ,      ,       ,       ,    4.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2021-06-13, 11:50:14,  +00:00,       ,             ,             ,   144.2, 30.03,        ,  30.8,   0.00,       ,   19.12,       ,       ,       ,       ,      ,      ,  25.1,  24.4, -11.3,  46.00,  46.00,     5.90,  151.59,    0.19,  30.14,    0.0,    0.00,  142.11,  146.49,  150.99,  155.79,  138.13,  144.57,  154.26,  161.72,  144.85,  144.10,  136.30,  124.15,  268.00,  243.74,        ,   0,  GPS,   18.6, 117.35, 117.35, 120.300, 121.500,       ,       ,       ,      ,       ,       ,    4.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2021-06-13, 11:50:15,  +00:00,       ,             ,             ,   144.2, 30.03,        ,  30.5,   0.00,       ,   16.15,       ,       ,       ,       ,      ,      ,  25.0,  24.4, -11.4,  46.00,  46.00,     5.88,  151.58,    0.18,  30.14,    0.0,    0.00,  142.07,  146.45,  150.93,  155.76,  138.08,  144.51,  154.56,  161.47,  144.78,  144.05,  136.22,  124.11,  268.01,  244.33,        ,   0,  GPS,   18.6, 117.35, 117.35, 120.300, 121.500,       ,       ,       ,      ,       ,       ,    4.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
