#airframe_info, log_version="1.00", airframe_name="Cirrus SR22 Turbo (3600 GW)", unit_software_part_number="006-B0319-DE", unit_software_version="15.24", system_software_part_number="006-B0764-37", system_id="256EB5967", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2021-06-17, 06:35:23,  +00:00,       ,             ,             ,  1117.8, 30.12,        ,  25.8,   0.00,       ,   16.00,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,  21.88,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  348.4, 110.90, 110.90, 118.200, 121.500,       ,       ,       ,      ,       ,       ,    4.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2021-06-17, 06:35:23,  +00:00,       ,             ,             ,  1117.8, 30.12,        ,  25.8,   0.00,       ,   16.00,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,  21.88,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  348.4, 110.90, 110.90, 118.200, 121.500,       ,       ,       ,      ,       ,       ,    4.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2021-06-17, 06:35:24,  +00:00,       ,             ,             ,  1117.8, 30.12,        ,  25.8,   0.00,       ,   16.00,       ,       ,       ,       ,      ,      ,  24.7,  24.0,  -4.9,  46.00,       ,     0.00,   69.90,    0.14,  29.29,    0.0,    0.00,   73.33,   69.33,   72.81,   68.61,   73.44,   68.98,   83.53,   83.54,   83.54,   83.54,   83.53,   83.54,   83.54,   83.54,        ,   0,  GPS,  348.4, 110.90, 110.90, 118.200, 121.500,       ,       ,       ,      ,       ,       ,    4.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2021-06-17, 06:35:25,  +00:00,       ,             ,             ,  1118.8, 30.12,        ,  25.8,   0.00,       ,   16.00,       ,       ,       ,       ,      ,      ,  24.7,  24.0,  -4.9,  46.00,  21.61,     0.00,   69.93,    0.13,  29.28,    0.0,    0.00,   73.33,   69.33,   72.81,   68.60,   73.42,   68.98,   83.57,   83.56,   83.56,   83.56,   83.57,   83.56,   83.56,   83.56,        ,   0,  GPS,  348.4, 110.90, 110.90, 118.200, 121.500,       ,       ,       ,      ,       ,       ,    4.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2021-06-17, 06:35:26,  +00:00,       ,             ,             ,  1118.8, 30.12,        ,  25.8,   0.00,       ,   16.00,       ,       ,       ,       ,      ,      ,  24.7,  24.0,  -4.8,  46.00,  21.58,     0.00,   69.93,    0.13,  29.28,    0.0,    0.00,   73.33,   69.33,   72.81,   68.62,   73.43,   69.00,   83.53,   83.54,   83.54,   83.54,   83.53,   83.54,   83.54,   83.54,        ,   0,  GPS,  348.4, 110.90, 110.90, 118.200, 121.500,       ,       ,       ,      ,       ,       ,    4.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2021-06-17, 06:35:27,  +00:00,       ,             ,             ,  1118.8, 30.12,        ,  25.8,   0.00,       ,   16.00,       ,       ,       ,       ,      ,      ,  24.7,  24.0,  -4.8,  46.00,  21.53,     0.00,   69.94,    0.13,  29.29,    0.0,    0.00,   73.34,   69.36,   72.83,   68.63,   73.43,   69.01,   83.57,   83.56,   83.56,   83.56,   83.57,   83.56,   83.56,   83.56,        ,   0,  GPS,  348.4, 110.90, 110.90, 118.200, 121.500,       ,       ,       ,      ,       ,       ,    4.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2021-06-17, 06:35:28,  +00:00,       ,             ,             ,  1118.8, 30.12,        ,  25.8,   0.00,       ,   16.00,       ,       ,       ,       ,      ,      ,  24.7,  24.0,  -4.7,  46.00,  21.50,     0.00,   69.94,    0.13,  29.29,    0.0,    0.00,   73.34,   69.36,   72.83,   68.63,   73.45,   69.00,   83.57,   83.57,   83.57,   83.57,   83.57,   83.57,   83.57,   83.57,        ,   0,  GPS,  348.4, 110.90, 110.90, 118.200, 121.500,       ,       ,       ,      ,       ,       ,    4.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2021-06-17, 06:35:29,  +00:00,       ,             ,             ,  1119.8, 30.12,        ,  25.8,   0.00,       ,   16.00,       ,       ,       ,       ,      ,      ,  24.7,  24.0,  -4.7,  46.00,  21.46,     0.00,   69.96,    0.13,  29.29,    0.0,    0.00,   73.36,   69.36,   72.84,   68.65,   73.45,   69.01,   83.57,   83.57,   83.57,   83.57,   83.57,   83.57,   83.57,   83.57,        ,   0,  GPS,  348.4, 110.90, 110.90, 118.200, 121.500,       ,       ,       ,      ,       ,       ,    4.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2021-06-17, 06:35:30,  +00:00,       ,             ,             ,  1119.8, 30.12,        ,  25.8,   0.00,       ,   16.00,       ,       ,       ,       ,      ,      ,  24.7,  24.0,  -4.7,  46.00,  21.42,     0.00,   69.94,    0.13,  29.29,    0.0,    0.00,   73.36,   69.37,   72.84,   68.64,   73.45,   69.01,   83.57,   83.57,   83.57,   83.57,   83.57,   83.57,   83.57,   83.57,        ,   0,  GPS,  348.4, 110.90, 110.90, 118.200, 121.500,       ,       ,       ,      ,       ,       ,    4.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2021-06-17, 06:35:31,  +00:00,       ,             ,             ,  1119.8, 30.12,        ,  25.8,   0.00,       ,   16.00,       ,       ,       ,       ,      ,      ,  24.7,  24.0,  -4.6,  46.00,  21.40,     0.00,   69.96,    0.12,  29.29,    0.0,    0.00,   73.36,   69.39,   72.84,   68.66,   73.46,   69.01,   83.60,   83.60,   83.60,   83.60,   83.60,   83.60,   83.60,   83.60,        ,   0,  GPS,  348.4, 110.90, 110.90, 118.200, 121.500,       ,       ,       ,      ,       ,       ,    4.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
