#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Cirrus SR22 Turbo", unit_software_part_number="006-B1177-C1", unit_software_version="21.50.5", system_software_part_number="006-B2647-N8", system_id="25B289D04", mode=NORMAL, flightstream_header="25B289D04_20211204_102038", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft lbs,       %,   deg C,      gph,     Hg,    rpm,  ft lbs,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,    deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2, E1 Torq,   E1 NG,  E1 ITT, E2 FFlow, E2 MAP, E2 RPM, E2 Torq,   E2 NG,  E2 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd,  WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2021-12-04, 10:20:38,  +00:00,       ,   51.3503990,   -0.5617625,   634.6, 30.09,    90.7,      ,   0.00,   0.00,        ,       ,       ,       ,       ,      , 359.7,      ,      ,      ,       ,       ,         ,        ,        ,  12.82,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,   242.4,   0,  GPS,  107.0, 109.95, 109.95, 123.430, 127.480,       ,       ,       ,       ,       ,       ,    0.3,      0,  NONE,   NONE,      ,      ,   0.0, 3DDiff, 3704,      ,      7,   8.5,     12
2021-12-04, 10:20:39,  +00:00,       ,   51.3503990,   -0.5617623,   632.6, 30.09,    91.0,      ,   0.00,   0.00,        ,       ,       ,       ,       ,      , 359.7,  25.4,  24.6,  -7.1,       ,       ,     2.85,  109.40,   54.35,  12.79, 1093.1,    0.09,  229.29,  220.97,  224.67,  219.58,  217.26,  206.08, 1043.15, 1044.83, 1037.86, 1035.05, 1097.95, 1079.82,  968.71,  987.36,        ,        ,        ,         ,       ,       ,        ,        ,        ,   242.8,   0,  GPS,  107.0, 109.95, 109.95, 123.430, 127.480,       ,       ,       ,       ,       ,       ,    0.3,      0,  NONE,   NONE,      ,      ,   0.0, 3DDiff, 3704,      ,      7,   8.5,     12
2021-12-04, 10:20:40,  +00:00,       ,   51.3504028,   -0.5617486,   631.6, 30.09,    79.6,   7.2,   0.00,   0.00,        ,       ,       ,       ,       ,      , 359.7,  25.3,  24.6,  -7.1,  46.00,  46.00,     2.82,  109.54,   54.30,  12.84, 1092.8,    0.09,  229.50,  221.19,  224.85,  219.76,  217.47,  206.24, 1043.95, 1044.45, 1038.17, 1034.12, 1097.27, 1078.37,  968.78,  988.00,        ,        ,        ,         ,       ,       ,        ,        ,        ,   231.3,   0,  GPS,  107.0, 109.95, 109.95, 123.430, 127.480,       ,       ,       ,       ,       ,       ,    0.3,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  41.0,       
2021-12-04, 10:20:41,  +00:00,       ,   51.3504028,   -0.5617486,   631.6, 30.09,    79.7,   7.2,   0.00,   0.00,        ,       ,       ,       ,       ,      , 359.7,  25.3,  24.5,  -7.0,  46.00,  46.00,     2.82,  109.70,   54.26,  12.83, 1093.7,    0.09,  229.73,  221.42,  225.00,  219.95,  217.67,  206.41, 1044.69, 1042.94, 1038.98, 1033.51, 1095.56, 1078.09,  967.88,  987.96,        ,        ,        ,         ,       ,       ,        ,        ,        ,   231.4,   0,  GPS,  107.0, 109.95, 109.95, 123.430, 127.480,       ,       ,       ,       ,       ,       ,    0.3,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  41.0,       
2021-12-04, 10:20:42,  +00:00,       ,   51.3504028,   -0.5617483,   630.6, 30.09,    79.7,   7.2,   0.00,   0.00,  -58.05,       ,       ,       ,       ,      , 359.7,  25.2,  24.5,  -6.9,  46.00,  46.00,     2.79,  109.90,   54.25,  12.78, 1096.9,    0.09,  229.95,  221.62,  225.16,  220.12,  217.84,  206.57, 1046.04, 1042.03, 1038.45, 1031.90, 1093.38, 1078.45,  967.17,  988.14,        ,        ,        ,         ,       ,       ,        ,        ,        ,   231.4,   0,  GPS,  107.0, 109.95, 109.95, 123.430, 127.480,       ,       ,       ,       ,       ,       ,    0.3,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  41.0,       
2021-12-04, 10:20:43,  +00:00,       ,   51.3504028,   -0.5617483,   631.6, 30.09,    79.7,   7.2,   0.00,   0.00,  -21.79,       ,       ,       ,       ,      , 359.7,  25.2,  24.4,  -6.9,  46.00,  46.00,     2.80,  110.10,   54.25,  12.76, 1099.6,    0.09,  230.16,  221.82,  225.31,  220.32,  218.04,  206.72, 1046.39, 1041.39, 1037.85, 1030.21, 1092.23, 1077.14,  966.15,  987.88,        ,        ,        ,         ,       ,       ,        ,        ,        ,   231.4,   0,  GPS,  107.0, 109.95, 109.95, 123.430, 127.480,       ,       ,       ,       ,       ,       ,    0.3,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  41.0,       
2021-12-04, 10:20:44,  +00:00,       ,   51.3504028,   -0.5617481,   633.6, 30.09,    79.7,   7.2,   0.00,   0.00,   22.32,       ,       ,       ,       ,      , 359.7,  25.1,  24.4,  -6.9,  46.00,  46.00,     2.78,  110.33,   54.23,  12.74, 1100.1,    0.09,  230.36,  222.02,  225.47,  220.49,  218.22,  206.88, 1045.56, 1042.09, 1036.99, 1030.53, 1092.84, 1076.32,  966.42,  987.43,        ,        ,        ,         ,       ,       ,        ,        ,        ,   231.4,   0,  GPS,  107.0, 109.95, 109.95, 123.430, 127.480,       ,       ,       ,       ,       ,       ,    0.3,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  41.0,       
2021-12-04, 10:20:45,  +00:00,       ,   51.3504028,   -0.5617481,   633.6, 30.09,    79.8,   7.2,   0.00,   0.00,   61.60,       ,       ,       ,       ,      , 359.7,  25.2,  24.4,  -6.6,  46.00,  46.00,     2.80,  110.57,   54.15,  12.74, 1096.8,    0.09,  230.57,  222.22,  225.62,  220.65,  218.41,  207.04, 1045.38, 1042.58, 1037.19, 1030.44, 1093.08, 1078.65,  966.86,  987.47,        ,        ,        ,         ,       ,       ,        ,        ,        ,   231.5,   0,  GPS,  107.0, 109.95, 109.95, 123.430, 127.480,       ,       ,       ,       ,       ,       ,    0.3,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  41.0,       
2021-12-04, 10:20:46,  +00:00,       ,   51.3504028,   -0.5617481,   632.6, 30.09,    79.9,   7.2,   0.00,   0.00,   11.50,       ,       ,       ,       ,      , 359.7,  25.7,  25.1,  -5.3,  46.00,  46.00,     2.94,  110.87,   53.96,  12.91, 1075.0,    0.09,  230.77,  222.42,  225.78,  220.81,  218.58,  207.17, 1044.97, 1042.47, 1036.63, 1030.57, 1094.34, 1078.96,  966.44,  987.27,        ,        ,        ,         ,       ,       ,        ,        ,        ,   231.6,   0,  GPS,  107.0, 109.95, 109.95, 123.430, 127.480,       ,       ,       ,       ,       ,       ,    0.3,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  41.0,       
2021-12-04, 10:20:47,  +00:00,       ,   51.3504028,   -0.5617481,   632.6, 30.09,    79.8,   7.2,   0.00,   0.00,  -21.76,       ,       ,       ,       ,      , 359.7,  26.1,  25.9,  -4.2,  46.00,  46.00,     3.04,  111.18,   53.65,  13.17, 1048.4,    0.08,  230.98,  222.62,  225.92,  220.96,  218.77,  207.32, 1041.09, 1043.93, 1032.90, 1028.34, 1094.62, 1082.73,  967.27,  984.67,        ,        ,        ,         ,       ,       ,        ,        ,        ,   231.5,   0,  GPS,  107.0, 109.95, 109.95, 123.430, 127.480,       ,       ,       ,       ,       ,       ,    0.3,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  41.0,       
