#airframe_info, log_version="1.00", airframe_name="Diamond DA40NG", unit_software_part_number="006-B0319-9D", unit_software_version="11.13", system_software_part_number="010-00915-07", system_id="26BBB7B6F", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,   gals,   gals,      gph,      psi,   deg F,     psi,    rpm,       %,      gph,       psi,   deg F,       psi,    rpm,       %,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  FQtyL,  FQtyR, E1 FFlow, E1 FPres, E1 OilT, E1 OilP, E1 RPM, E1 %Pwr, E2 FFlow,  E2 FPres, E2 OilT,   E2 OilP, E2 RPM, E2 %Pwr,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2022-09-05, 06:36:15,  +00:00,       ,             ,             ,  -137.8, 29.91,        ,  26.5,   0.00,       ,   16.07,       ,       ,       ,       ,      ,      ,  23.2,   0.0,  13.92,  13.12,         ,         ,        ,        ,       ,        ,         ,          ,        ,          ,       ,        ,        ,   0,  GPS,  317.8, 110.90, 116.20, 130.875, 121.500,       ,       ,       ,      ,       ,       ,    4.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-09-05, 06:36:15,  +00:00,       ,             ,             ,  -137.8, 29.91,        ,  26.5,   0.00,       ,   16.07,       ,       ,       ,       ,      ,      ,  23.2,   0.0,  13.92,  13.12,         ,         ,        ,        ,       ,        ,         ,          ,        ,          ,       ,        ,        ,   0,  GPS,  317.8, 110.90, 116.20, 130.875, 121.500,       ,       ,       ,      ,       ,       ,    4.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-09-05, 06:36:16,  +00:00,       ,             ,             ,  -138.8, 29.91,        ,  26.5,   0.00,       ,    9.77,       ,       ,       ,       ,      ,      ,  23.2,   0.0,  13.92,  13.12,         ,         ,        ,        ,       ,        ,         ,          ,        ,          ,       ,        ,        ,   0,  GPS,  317.8, 110.90, 116.20, 130.875, 121.500,       ,       ,       ,      ,       ,       ,    4.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-09-05, 06:36:17,  +00:00,       ,             ,             ,  -138.8, 29.91,        ,  26.5,   0.00,       ,   -1.52,       ,       ,       ,       ,      ,      ,  23.2,   0.0,  13.92,  13.12,         ,         ,        ,        ,       ,        ,         ,          ,        ,          ,       ,        ,        ,   0,  GPS,  317.8, 110.90, 116.20, 130.875, 121.500,       ,       ,       ,      ,       ,       ,    4.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-09-05, 06:36:18,  +00:00,       ,             ,             ,  -137.8, 29.91,        ,  26.5,   0.00,       ,   -3.78,       ,       ,       ,       ,      ,      ,  23.2,   0.0,  13.92,  13.12,         ,         ,        ,        ,       ,        ,         ,          ,        ,          ,       ,        ,        ,   0,  GPS,  317.8, 110.90, 116.20, 130.875, 121.500,       ,       ,       ,      ,       ,       ,    4.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-09-05, 06:36:19,  +00:00,       ,             ,             ,  -137.8, 29.91,        ,  26.5,   0.00,       ,   -2.17,       ,       ,       ,       ,      ,      ,  23.2,   0.0,  13.92,  13.12,         ,         ,        ,        ,       ,        ,         ,          ,        ,          ,       ,        ,        ,   0,  GPS,  317.8, 110.90, 116.20, 130.875, 121.500,       ,       ,       ,      ,       ,       ,    4.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-09-05, 06:36:20,  +00:00,       ,             ,             ,  -138.8, 29.91,        ,  26.5,   0.00,       ,   -0.97,       ,       ,       ,       ,      ,      ,  23.2,   0.0,  13.92,  13.12,         ,         ,        ,        ,       ,        ,         ,          ,        ,          ,       ,        ,        ,   0,  GPS,  317.8, 110.90, 116.20, 130.875, 121.500,       ,       ,       ,      ,       ,       ,    4.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-09-05, 06:36:21,  +00:00,       ,             ,             ,  -137.8, 29.91,        ,  26.5,   0.00,       ,   -0.39,       ,       ,       ,       ,      ,      ,  23.2,   0.0,  13.92,  13.12,         ,         ,        ,        ,       ,        ,         ,          ,        ,          ,       ,        ,        ,   0,  GPS,  317.8, 110.90, 116.20, 130.875, 121.500,       ,       ,       ,      ,       ,       ,    4.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-09-05, 06:36:22,  +00:00,       ,             ,             ,  -137.8, 29.91,        ,  26.5,   0.00,       ,   -0.15,       ,       ,       ,       ,      ,      ,  23.2,   0.0,  13.92,  13.12,         ,         ,        ,        ,       ,        ,         ,          ,        ,          ,       ,        ,        ,   0,  GPS,  317.8, 110.90, 116.20, 130.875, 121.500,       ,       ,       ,      ,       ,       ,    4.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-09-05, 06:36:23,  +00:00,       ,             ,             ,  -137.8, 29.91,        ,  26.5,   0.00,       ,    0.25,       ,       ,       ,       ,      ,      ,  23.2,   0.0,  13.92,  13.12,         ,         ,        ,        ,       ,        ,         ,          ,        ,          ,       ,        ,        ,   0,  GPS,  317.8, 110.90, 116.20, 130.875, 121.500,       ,       ,       ,      ,       ,       ,    4.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
