flight_id,source_file,channel,count,missing_count,missing_pct,min,max,mean,median,std,p25,p75,is_constant,impossible_value_flag
FLIGHT_01,log_210617_063632_LOWG.csv,E1 RPM,2783,1,0.036,0.0,2506.7,1898.74,2490.3,801.52,1149.4,2494.9,False,False
FLIGHT_01,log_210617_063632_LOWG.csv,E1 MAP,2783,1,0.036,7.02,36.86,24.73,29.28,9.24,14.84,35.34,False,False
FLIGHT_01,log_210617_063632_LOWG.csv,E1 FFlow,2783,1,0.036,0.0,38.62,16.66,13.6,13.27,4.8,35.3,False,False
FLIGHT_01,log_210617_063632_LOWG.csv,E1 OilT,2783,1,0.036,69.9,189.1,154.97,167.86,34.96,158.71,177.22,False,False
FLIGHT_01,log_210617_063632_LOWG.csv,E1 OilP,2783,1,0.036,0.1,65.3,46.38,49.69,14.3,47.94,52.27,False,False
FLIGHT_01,log_210617_063632_LOWG.csv,E1 CHT1,2783,1,0.036,73.33,355.26,278.04,295.4,79.59,262.15,340.04,False,False
FLIGHT_01,log_210617_063632_LOWG.csv,E1 CHT2,2783,1,0.036,69.33,342.22,262.87,277.8,78.32,244.34,328.87,False,False
FLIGHT_01,log_210617_063632_LOWG.csv,E1 CHT3,2783,1,0.036,72.81,362.21,279.66,293.9,81.95,262.5,348.48,False,False
FLIGHT_01,log_210617_063632_LOWG.csv,E1 CHT4,2783,1,0.036,68.6,347.11,271.52,285.72,79.57,260.0,331.68,False,False
FLIGHT_01,log_210617_063632_LOWG.csv,E1 CHT5,2783,1,0.036,73.42,345.32,268.53,290.14,76.52,258.58,331.46,False,False
FLIGHT_01,log_210617_063632_LOWG.csv,E1 CHT6,2783,1,0.036,68.98,355.17,270.01,283.41,81.09,248.58,334.25,False,False
FLIGHT_01,log_210617_063632_LOWG.csv,E1 EGT1,2783,1,0.036,83.53,1530.63,1166.35,1277.87,349.4,1078.59,1318.74,False,False
FLIGHT_01,log_210617_063632_LOWG.csv,E1 EGT2,2783,1,0.036,83.54,1551.07,1169.16,1307.36,358.4,1060.51,1327.26,False,False
FLIGHT_01,log_210617_063632_LOWG.csv,E1 EGT3,2783,1,0.036,83.54,1537.72,1167.79,1291.76,350.75,1083.87,1317.49,False,False
FLIGHT_01,log_210617_063632_LOWG.csv,E1 EGT4,2783,1,0.036,83.54,1562.16,1175.04,1285.93,352.35,1096.24,1309.86,False,False
FLIGHT_01,log_210617_063632_LOWG.csv,E1 EGT5,2783,1,0.036,83.53,1510.13,1160.34,1269.7,343.75,1079.65,1293.97,False,False
FLIGHT_01,log_210617_063632_LOWG.csv,E1 EGT6,2783,1,0.036,83.54,1522.96,1162.93,1247.14,343.76,1118.64,1311.04,False,False
FLIGHT_01,log_210617_063632_LOWG.csv,E1 TIT1,2783,1,0.036,83.54,1583.99,1171.57,1319.2,368.02,1029.35,1341.28,False,False
FLIGHT_01,log_210617_063632_LOWG.csv,E1 TIT2,2783,1,0.036,83.54,1595.32,1189.59,1327.82,372.15,1041.49,1373.58,False,False
FLIGHT_01,log_210617_063632_LOWG.csv,AltMSL,2721,1,0.036,870.6,9276.7,3780.23,2356.9,2946.97,1111.6,6772.9,False,False
FLIGHT_01,log_210617_063632_LOWG.csv,IAS,2785,1,0.036,-1.02,172.6,85.02,118.2,69.17,0.0,148.19,False,True
FLIGHT_01,log_210617_063632_LOWG.csv,OAT,2785,1,0.036,5.5,26.5,18.1,20.0,6.77,11.5,24.5,False,False
FLIGHT_01,log_210617_063632_LOWG.csv,volt1,2783,1,0.036,23.5,27.9,27.56,27.8,0.87,27.8,27.9,False,False
FLIGHT_01,log_210617_063632_LOWG.csv,amp1,2783,1,0.036,-13.8,7.5,0.92,1.0,2.2,0.9,1.7,False,False
FLIGHT_02,log_220417_125002_LFQA.csv,E1 RPM,2839,1,0.035,0.0,2490.7,2022.65,2469.6,730.78,1179.75,2472.9,False,False
FLIGHT_02,log_220417_125002_LFQA.csv,E1 MAP,2839,1,0.035,8.81,36.48,23.09,29.57,8.28,14.36,29.77,False,False
FLIGHT_02,log_220417_125002_LFQA.csv,E1 FFlow,2839,1,0.035,0.0,38.13,13.39,15.49,8.66,4.07,15.62,False,False
FLIGHT_02,log_220417_125002_LFQA.csv,E1 OilT,2836,1,0.035,66.99,186.33,161.04,177.5,34.3,166.32,181.62,False,False
FLIGHT_02,log_220417_125002_LFQA.csv,E1 OilP,2836,1,0.035,0.33,61.47,46.94,49.07,10.87,47.5,50.47,False,False
FLIGHT_02,log_220417_125002_LFQA.csv,E1 CHT1,2836,1,0.035,67.81,355.44,266.55,296.85,67.36,242.82,301.43,False,False
FLIGHT_02,log_220417_125002_LFQA.csv,E1 CHT2,2836,1,0.035,69.08,358.46,270.28,299.96,67.69,248.9,306.46,False,False
FLIGHT_02,log_220417_125002_LFQA.csv,E1 CHT3,2836,1,0.035,66.53,363.7,277.08,308.62,68.88,258.28,311.8,False,False
