timestamp_utc,time_seconds,engine_state,health_score,anomaly_score,fault_type,fault_probability,scenario_rul_sec,mission_success_probability,recommended_action,operator_action,simulated_action,event_type
2026-08-30T10:03:10.500291+00:00,120.0,WARNING,0.45,0.88,FT-02_INJECTOR_CLOGGING,0.92,850.0,0.35,RETURN_TO_BASE,PENDING,NONE,RECOMMENDATION_CHANGE
2026-08-30T10:03:10.503154+00:00,125.0,WARNING,0.45,0.88,FT-02_INJECTOR_CLOGGING,0.92,850.0,0.35,RETURN_TO_BASE,CONFIRMED,SIMULATED_RTB_ACTION,OPERATOR_DECISION_CONFIRMED
2026-08-30T10:03:10.508635+00:00,70.0,ADVISORY,0.8,0.65,FT-02_INJECTOR_CLOGGING,0.85,2200.0,0.82,DERATE_POWER,PENDING,NONE,RECOMMENDATION_CHANGE
2026-08-30T10:03:10.511623+00:00,75.0,ADVISORY,0.8,0.65,FT-02_INJECTOR_CLOGGING,0.85,2200.0,0.82,DERATE_POWER,REJECTED,NONE,OPERATOR_DECISION_REJECTED
2026-08-30T10:03:10.518496+00:00,120.0,WARNING,0.45,0.88,FT-02_INJECTOR_CLOGGING,0.92,850.0,0.35,RETURN_TO_BASE,PENDING,NONE,RECOMMENDATION_CHANGE
2026-08-30T10:03:12.081854+00:00,0.0,WARNING,0.0,1.0,HEALTHY,1.0,2000.3,0.112,RETURN_TO_BASE,PENDING,NONE,RECOMMENDATION_CHANGE
2026-08-30T10:03:12.419329+00:00,100.0,CRITICAL,0.501,0.499,HEALTHY,0.785,292.7,0.0,EMERGENCY_LANDING,PENDING,NONE,RECOMMENDATION_CHANGE
2026-08-30T10:03:12.433162+00:00,200.0,WARNING,0.4,0.9,FT-02_INJECTOR_CLOGGING,0.95,700.0,0.2,RETURN_TO_BASE,PENDING,NONE,RECOMMENDATION_CHANGE
2026-08-30T10:03:12.435668+00:00,205.0,WARNING,0.4,0.9,FT-02_INJECTOR_CLOGGING,0.95,700.0,0.2,RETURN_TO_BASE,CONFIRMED,SIMULATED_RTB_ACTION,OPERATOR_DECISION_CONFIRMED
2026-08-30T10:03:26.042446+00:00,0.0,WARNING,0.0,1.0,HEALTHY,1.0,2000.3,0.102,RETURN_TO_BASE,PENDING,NONE,RECOMMENDATION_CHANGE
